GENDER,ACTIVE,DISTRESS,DISLAT,DURATION,SMILAU,SOOTH,ATTRACT,COND,BEHAVE,BABYSEX,CUTENESS,CELL,TOTALNEG,TOTALPOS,REVTOTNE,TOTAL
1.0,3.59,3.9,4.06,4.45,4.87,5.3,5.0,3.0,1.0,2.0,1.0,5.0,11.55,14.620000000000001,9.45,24.07
1.0,4.24,3.4,3.88,4.27,4.6,4.2,5.0,3.0,1.0,2.0,1.0,5.0,11.52,13.07,9.48,22.55
1.0,2.88,2.45,2.69,5.36,5.07,5.4,7.0,3.0,1.0,2.0,1.0,5.0,8.02,15.830000000000002,12.98,28.810000000000002
2.0,4.18,3.3,3.38,3.18,4.47,5.1,9.0,3.0,1.0,2.0,1.0,6.0,10.86,12.75,10.14,22.89
2.0,4.82,4.55,4.19,3.55,3.4,3.9,6.0,3.0,1.0,2.0,1.0,6.0,13.560000000000002,10.85,7.439999999999998,18.29
2.0,4.18,3.45,3.38,3.36,3.73,4.5,8.0,3.0,1.0,2.0,1.0,6.0,11.01,11.59,9.99,21.58
2.0,3.71,3.4,3.5,5.18,5.33,5.0,8.0,3.0,1.0,2.0,1.0,6.0,10.61,15.51,10.39,25.9
2.0,3.82,3.5,3.81,4.73,4.8,4.82,6.0,3.0,1.0,2.0,1.0,6.0,11.13,14.350000000000001,9.87,24.22
2.0,3.94,4.0,3.88,4.0,4.6,4.36,8.0,3.0,1.0,2.0,1.0,6.0,11.82,12.96,9.18,22.14
2.0,1.82,2.55,3.19,5.18,3.2,4.45,4.5,3.0,1.0,2.0,1.0,6.0,7.5600000000000005,12.83,13.44,26.27
2.0,5.18,4.55,2.94,5.64,5.4,5.8,9.0,3.0,1.0,2.0,1.0,6.0,12.67,16.84,8.33,25.17
2.0,4.35,3.3,3.81,4.91,3.87,3.82,7.0,3.0,1.0,2.0,1.0,6.0,11.459999999999999,12.6,9.540000000000001,22.14
2.0,4.0,3.2,3.31,3.55,3.67,4.2,9.0,3.0,1.0,2.0,1.0,6.0,10.51,11.42,10.49,21.91
2.0,6.0,2.0,3.0,5.0,6.0,4.0,8.0,3.0,1.0,2.0,1.0,6.0,11.0,15.0,10.0,25.0
2.0,3.88,3.85,3.5,4.73,4.93,5.0,7.0,3.0,1.0,2.0,1.0,6.0,11.23,14.66,9.77,24.43
1.0,4.71,5.25,5.94,2.27,2.0,4.4,6.0,4.0,2.0,2.0,1.0,7.0,15.900000000000002,8.67,5.099999999999998,13.769999999999998
1.0,4.88,5.05,4.69,3.55,3.13,3.09,5.0,4.0,2.0,2.0,1.0,7.0,14.620000000000001,9.77,6.379999999999999,16.15
1.0,5.06,5.2,5.13,2.82,3.6,4.1,8.0,4.0,2.0,2.0,1.0,7.0,15.39,10.52,5.609999999999999,16.13
1.0,5.06,5.15,5.38,3.18,2.8,3.9,5.0,4.0,2.0,2.0,1.0,7.0,15.59,9.879999999999999,5.41,15.29
1.0,4.41,4.6,5.19,3.09,3.33,5.1,8.0,4.0,2.0,2.0,1.0,7.0,14.2,11.52,6.800000000000001,18.32
1.0,4.53,4.25,5.0,3.09,2.27,3.55,7.0,4.0,2.0,2.0,1.0,7.0,13.780000000000001,8.91,7.219999999999999,16.13
1.0,6.76,6.65,5.63,2.45,3.87,2.92,7.0,4.0,2.0,2.0,1.0,7.0,19.04,9.24,1.9600000000000009,11.200000000000001
1.0,6.24,6.1,6.38,2.73,3.73,4.3,5.0,4.0,2.0,2.0,1.0,7.0,18.72,10.76,2.280000000000001,13.040000000000001
1.0,4.88,4.9,4.94,3.36,3.27,3.1,6.0,4.0,2.0,2.0,1.0,7.0,14.720000000000002,9.73,6.279999999999998,16.009999999999998
1.0,4.18,4.1,4.13,3.55,4.47,5.3,9.0,4.0,2.0,2.0,1.0,7.0,12.41,13.32,8.59,21.91
1.0,4.94,4.8,4.63,3.64,4.47,4.7,7.0,4.0,2.0,2.0,1.0,7.0,14.370000000000001,12.81,6.629999999999999,19.439999999999998
1.0,5.53,5.7,6.69,1.73,2.6,4.4,6.0,4.0,2.0,2.0,1.0,7.0,17.92,8.73,3.0799999999999983,11.809999999999999
1.0,4.65,4.7,4.06,3.73,4.07,3.91,6.0,4.0,2.0,2.0,1.0,7.0,13.41,11.71,7.59,19.3
